Portfolio,AssetsIncluded,RebalancedDaily,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown,CAGR,Beta to SPY,Correlation to SPY,Effective Names,Top-5 Weight Sum,Average Daily Turnover,Annualized Turnover
Equal Weight 1/n,50,Yes,0.74999860,0.19784604,0.14167941,1.39643468,-0.18947061,0.20656836,0.84586541,0.90822736,50.00000000,0.10000000,0.00642659,1.61949945
HW4 GMV,49,No,0.47718621,0.13849989,0.12302078,1.12582517,-0.12386236,0.13986767,0.33688849,0.41658896,6.94422797,0.74344588,0.00000000,0.00000000
